"Send mail after how many days ?","Send mail after how many days ?"
"Re send mail to customers at next planification if they already received it ?","Re send mail to customers at next planification if they already received it ?"
"notice_nursing","Emailing automatically sent to the customer who has not purchased for x days to remind them of the benefits of the site"
