"Send mail after how many days ?","Envoyer un mail après combien de jours ?"
"Re send mail to customers at next planification if they already received it ?","Renvoyer un mail au client l'ayant déjà reçus auparavant ?"
"notice_nursing","Emailing envoyé automatiquement au client n'ayant pas acheté depuis x jours pour leur rappeler les avantages du site"
